ADAL,94.34,0.03,10.31
ADAR,91.22,-1.43,-11.64
ADEL,87.97,-0.12,10.50
ADER,83.23,-0.58,-11.47
ADFL,54.18,8.48,7.00
ADFR,54.63,7.15,-8.88
ADLL,59.13,12.05,3.86
ADLR,58.80,11.38,-6.34
AFDL,53.37,5.99,7.49
AFDR,53.11,5.71,-9.19
AIAL,66.74,-4.67,0.66
AIAR,67.33,-4.73,-0.99
AIBL,55.49,2.53,5.95
AIBR,55.94,2.61,-6.63
AIML,79.31,-6.77,2.87
AIMR,70.59,-5.01,-3.48
AINL,68.22,6.62,9.69
AINR,67.38,7.01,-10.84
AIYL,71.42,-4.40,5.34
AIYR,59.43,-1.49,-1.12
AIZL,68.92,2.53,7.98
AIZR,67.51,1.72,-8.68
ALA,51.26,15.36,-2.16
ALML,337.49,11.79,-11.86
ALMR,313.28,19.99,10.89
ALNL,784.36,12.09,3.51
ALNR,786.60,12.15,-4.00
AQR,87.59,-3.56,-10.65
AS1,125.47,-9.54,1.86
AS10,656.89,-9.97,-1.18
AS11,721.64,-5.19,0.47
AS2,178.62,-14.41,2.54
AS3,241.85,-13.12,1.37
AS4,314.15,-15.93,0.51
AS5,373.84,-16.51,0.11
AS6,416.50,-13.72,0.36
AS7,480.05,-12.86,1.70
AS8,535.33,-13.19,-0.11
AS9,598.95,-11.42,-0.09
ASEL,61.30,5.43,8.57
ASER,60.94,5.42,-10.37
ASGL,59.98,8.66,7.01
ASGR,60.15,8.00,-8.22
ASHL,58.42,4.21,8.35
ASHR,57.83,3.81,-10.20
ASIL,63.34,10.14,5.80
ASIR,63.42,9.72,-7.16
ASJL,64.06,-0.02,5.64
ASJR,64.01,-1.08,-5.99
ASKL,54.73,12.00,4.44
ASKR,54.43,11.18,-6.32
AUAL,60.91,0.84,8.36
AUAR,60.76,0.22,-9.63
AVAL,50.20,6.70,8.41
AVAR,50.99,4.79,-9.13
AVBL,63.74,5.10,7.12
AVBR,62.69,4.83,-9.41
AVDL,65.34,5.35,9.11
AVDR,65.45,5.14,-10.59
AVEL,51.08,4.58,5.98
AVER,52.03,3.63,-6.09
AVFL,94.37,-7.80,3.49
AVFR,95.54,-8.59,0.49
AVG,121.12,-9.44,-1.76
AVHL,62.68,9.65,7.85
AVHR,62.82,8.96,-9.77
AVJL,65.08,7.13,8.47
AVJR,65.13,7.55,-9.59
AVKL,87.39,-5.94,3.82
AVKR,75.68,-5.64,-3.17
AVL,70.82,-4.87,0.37
AVM,286.36,-1.16,10.16
AWAL,57.58,6.57,5.85
